economy_id,county_id,year,avg_income,unemployment_rate,gdp_estimate
280,26,2018,45300,13.0,145400000000
281,26,2019,47400,12.5,152200000000
282,26,2020,46100,16.3,147700000000
283,26,2021,48900,13.8,156800000000
284,26,2022,51900,11.8,167100000000
285,26,2023,55100,10.7,178200000000
286,26,2024,58500,9.8,189900000000
287,27,2014,33200,19.1,93000000000
288,27,2015,34700,18.5,97000000000
289,27,2016,36300,17.9,101300000000
290,27,2017,38000,17.4,105900000000
291,27,2018,39800,16.8,110800000000
292,27,2019,41700,16.2,116000000000
293,27,2020,40500,20.5,112600000000
294,27,2021,43000,17.6,119500000000
295,27,2022,45700,15.0,127300000000
296,27,2023,48500,13.7,135800000000
297,27,2024,51600,12.5,144900000000
298,28,2014,38500,14.3,115000000000
299,28,2015,40200,13.8,120000000000
300,28,2016,42000,13.2,125400000000
301,28,2017,43900,12.7,131100000000
302,28,2018,45900,12.2,137200000000
303,28,2019,48100,11.7,143700000000
304,28,2020,46700,15.3,139400000000
305,28,2021,49500,13.0,148000000000
306,28,2022,52600,11.1,157700000000
307,28,2023,55900,10.1,168100000000
308,28,2024,59400,9.3,179300000000
309,29,2014,35800,16.9,129000000000
310,29,2015,37400,16.3,134600000000
311,29,2016,39100,15.8,140600000000
312,29,2017,40900,15.2,147000000000
313,29,2018,42800,14.7,153800000000
314,29,2019,44800,14.1,161000000000
315,29,2020,43500,18.4,156300000000
316,29,2021,46200,15.7,165900000000
317,29,2022,49100,13.4,176800000000
318,29,2023,52200,12.2,188500000000
319,29,2024,55500,11.2,201000000000
320,30,2014,39400,14.3,132000000000
321,30,2015,41100,13.7,137800000000
322,30,2016,42900,13.2,143900000000
323,30,2017,44900,12.6,150500000000
324,30,2018,47000,12.1,157600000000
325,30,2019,49200,11.6,165200000000
326,30,2020,47800,15.2,160300000000
327,30,2021,50700,12.9,170100000000
328,30,2022,53800,11.0,181200000000
329,30,2023,57100,10.0,193100000000
330,30,2024,60600,9.2,205900000000
331,31,2014,32100,19.8,87000000000
332,31,2015,33600,19.2,90700000000
333,31,2016,35100,18.6,94700000000
334,31,2017,36700,18.0,99000000000
335,31,2018,38400,17.5,103500000000
336,31,2019,40200,16.9,108300000000
337,31,2020,39100,21.4,105100000000
338,31,2021,41500,18.3,111600000000
339,31,2022,44100,15.6,118900000000
340,31,2023,46900,14.2,126800000000
341,31,2024,49900,13.0,135300000000
342,32,2014,34900,17.6,121000000000
343,32,2015,36400,17.0,126300000000
344,32,2016,38100,16.5,131900000000
345,32,2017,39900,15.9,137900000000
346,32,2018,41700,15.4,144200000000
347,32,2019,43700,14.8,151000000000
348,32,2020,42500,19.0,146500000000
349,32,2021,45100,16.2,155600000000
350,32,2022,47900,13.9,165700000000
351,32,2023,50900,12.6,176800000000
352,32,2024,54100,11.6,188700000000
353,33,2014,37600,15.4,106000000000
354,33,2015,39300,14.9,110600000000
355,33,2016,41100,14.3,115500000000
356,33,2017,43000,13.8,120700000000
357,33,2018,45000,13.3,126300000000
358,33,2019,47100,12.7,132200000000
359,33,2020,45800,16.6,128300000000
360,33,2021,48600,14.1,136200000000
361,33,2022,51600,12.0,145100000000
362,33,2023,54800,10.9,154700000000
363,33,2024,58200,10.0,165000000000
364,34,2014,40200,13.9,141000000000
365,34,2015,42000,13.3,147100000000
366,34,2016,43900,12.8,153600000000
367,34,2017,45900,12.2,160600000000
368,34,2018,48000,11.7,168000000000
369,34,2019,50300,11.2,175900000000
370,34,2020,48900,14.9,170700000000
371,34,2021,51800,12.6,181200000000
372,34,2022,55000,10.8,193100000000
373,34,2023,58400,9.8,205800000000
374,34,2024,62000,9.0,219400000000
375,35,2014,36800,16.1,117000000000
376,35,2015,38400,15.5,122100000000
377,35,2016,40200,15.0,127600000000
378,35,2017,42100,14.4,133400000000
379,35,2018,44100,13.9,139600000000
380,35,2019,46200,13.3,146200000000
381,35,2020,44900,17.4,141900000000
382,35,2021,47600,14.8,150600000000
383,35,2022,50600,12.7,160400000000
384,35,2023,53800,11.5,171100000000
385,35,2024,57200,10.5,182600000000
386,36,2014,39200,14.6,132000000000
387,36,2015,40900,14.0,137800000000
388,36,2016,42800,13.5,143900000000
389,36,2017,44800,12.9,150500000000
390,36,2018,46900,12.4,157600000000
391,36,2019,49100,11.9,165200000000
392,36,2020,47700,15.5,160300000000
393,36,2021,50600,13.2,170100000000
394,36,2022,53700,11.3,181200000000
395,36,2023,57000,10.3,193100000000
396,36,2024,60600,9.4,205900000000
397,37,2014,35700,16.8,114000000000
398,37,2015,37300,16.2,119000000000
399,37,2016,39000,15.7,124300000000
400,37,2017,40800,15.1,129900000000
401,37,2018,42700,14.6,135900000000
402,37,2019,44700,14.0,142300000000
403,37,2020,43400,18.2,138100000000
404,37,2021,46100,15.5,146600000000
405,37,2022,49000,13.3,156200000000
406,37,2023,52100,12.1,166600000000
407,37,2024,55400,11.1,177800000000
408,38,2014,32700,18.9,81000000000
409,38,2015,34200,18.3,84500000000
410,38,2016,35800,17.7,88300000000
411,38,2017,37400,17.1,92300000000
412,38,2018,39200,16.6,96600000000
413,38,2019,41100,16.0,101200000000
414,38,2020,39900,20.3,98200000000
415,38,2021,42400,17.4,104200000000
416,38,2022,45000,14.9,111000000000
417,38,2023,47900,13.6,118400000000
418,38,2024,50900,12.4,126400000000
419,39,2014,30800,20.9,75000000000
420,39,2015,32200,20.3,78200000000
421,39,2016,33700,19.7,81700000000
422,39,2017,35300,19.1,85400000000
423,39,2018,37000,18.5,89400000000
424,39,2019,38800,17.9,93700000000
425,39,2020,37700,22.7,90900000000
426,39,2021,40100,19.5,96500000000
427,39,2022,42600,16.7,102800000000
428,39,2023,45300,15.2,109700000000
429,39,2024,48200,13.9,117100000000
430,40,2014,34200,18.1,102000000000
431,40,2015,35700,17.5,106400000000
432,40,2016,37400,17.0,111100000000
433,40,2017,39100,16.4,116100000000
434,40,2018,41000,15.9,121400000000
435,40,2019,42900,15.3,127100000000
436,40,2020,41700,19.6,123300000000
437,40,2021,44300,16.7,130900000000
438,40,2022,47100,14.3,139400000000
439,40,2023,50100,13.0,148700000000
440,40,2024,53300,11.9,158700000000
441,41,2014,31500,20.3,89000000000
442,41,2015,33000,19.7,92800000000
443,41,2016,34500,19.1,96900000000
444,41,2017,36100,18.5,101300000000
445,41,2018,37800,17.9,106000000000
446,41,2019,39600,17.3,111000000000
447,41,2020,38500,22.0,107700000000
448,41,2021,40900,18.8,114300000000
449,41,2022,43500,16.1,121800000000
450,41,2023,46300,14.6,129900000000
451,41,2024,49200,13.4,138600000000
452,42,2014,33600,18.7,133000000000
453,42,2015,35100,18.1,138800000000
454,42,2016,36700,17.5,145000000000
455,42,2017,38400,16.9,151600000000
456,42,2018,40200,16.4,158600000000
457,42,2019,42100,15.8,166100000000
458,42,2020,40900,20.1,161200000000
459,42,2021,43500,17.2,171100000000
460,42,2022,46200,14.7,182300000000
461,42,2023,49100,13.4,194400000000
462,42,2024,52200,12.2,207400000000
463,43,2014,41700,12.9,151000000000
464,43,2015,43500,12.4,157600000000
465,43,2016,45500,11.8,164600000000
466,43,2017,47600,11.3,172100000000
467,43,2018,49800,10.8,180100000000
468,43,2019,52200,10.3,188600000000
469,43,2020,50700,13.9,183100000000
470,43,2021,53800,11.8,194300000000
471,43,2022,57100,10.1,207000000000
472,43,2023,60700,9.2,220700000000
473,43,2024,64400,8.4,235400000000
474,44,2014,46900,10.1,182000000000
475,44,2015,48900,9.7,189900000000
476,44,2016,51200,9.2,198300000000
477,44,2017,53600,8.8,207200000000
478,44,2018,56100,8.4,216700000000
479,44,2019,58800,8.0,226800000000
480,44,2020,57200,11.3,220100000000
481,44,2021,60600,9.6,233600000000
482,44,2022,64300,8.2,248900000000
483,44,2023,68300,7.4,265300000000
484,44,2024,72500,6.8,282800000000
485,45,2014,40500,13.7,141000000000
486,45,2015,42300,13.1,147100000000
487,45,2016,44200,12.6,153600000000
488,45,2017,46200,12.0,160600000000
489,45,2018,48400,11.5,168000000000
490,45,2019,50700,11.0,175900000000
491,45,2020,49300,14.7,170700000000
492,45,2021,52200,12.5,181200000000
493,45,2022,55400,10.7,193100000000
494,45,2023,58900,9.7,205800000000
495,45,2024,62600,8.9,219400000000
496,46,2014,34500,18.3,132000000000
497,46,2015,36000,17.7,137800000000
498,46,2016,37700,17.1,143900000000
499,46,2017,39400,16.5,150500000000
500,46,2018,41300,16.0,157600000000
501,46,2019,43200,15.4,165200000000
502,46,2020,42000,19.7,160300000000
503,46,2021,44600,16.8,170100000000
504,46,2022,47400,14.4,181200000000
505,46,2023,50400,13.1,193100000000
506,46,2024,53600,12.0,205900000000
507,47,2014,38100,15.0,172000000000
508,47,2015,39800,14.4,179400000000
509,47,2016,41600,13.9,187300000000
510,47,2017,43500,13.3,195700000000
511,47,2018,45500,12.8,204700000000
512,47,2019,47700,12.3,214300000000
513,47,2020,46300,16.1,208000000000
514,47,2021,49100,13.7,220800000000
515,47,2022,52200,11.7,235200000000
516,47,2023,55500,10.6,250700000000
517,47,2024,59000,9.7,267300000000
