business_id,county_id,business_name,business_type,employees,revenue_band,established_year
54,46,Biz_LOVZ9G0,Retail,7,50001-200000,1989
55,39,Biz_MEFMK38,Agriculture,6,10000-50000,1995
56,46,Biz_ABSELX9,Other,8,50001-200000,2022
57,30,Biz_51CEGSV,Manufacturing,2,10000-50000,2016
58,31,Biz_751QP61,Other,6,<10000,1988
59,16,Biz_B4ECEG4,Agriculture,7,<10000,1982
60,35,Biz_F1NQEBQ,Agriculture,11,50001-200000,2014
61,23,Biz_RN2SSYY,Services,10,<10000,2022
62,26,Biz_P79QEBM,Transport,9,<10000,2007
63,36,Biz_68ME7J3,Other,10,200001-1M,2008
64,23,Biz_U3SAMLL,Services,6,>1M,1990
65,18,Biz_C9HAUAY,Agriculture,2,>1M,2010
66,5,Biz_7KI5FLV,Retail,2,10000-50000,1991
67,30,Biz_6U20Y96,Agriculture,12,<10000,1983
68,46,Biz_ACCA0ME,Hospitality,9,<10000,2004
69,47,Biz_M0239FQ,Transport,11,<10000,2003
70,6,Biz_K7UNB27,Manufacturing,5,10000-50000,2011
71,16,Biz_OUT8491,Agriculture,7,50001-200000,2013
72,46,Biz_GLO7DF3,Other,10,<10000,2021
73,26,Biz_WVJWCWH,Services,6,10000-50000,2014
74,37,Biz_PDUEFE5,Other,11,<10000,1993
75,4,Biz_5PJHSGS,Services,9,50001-200000,1984
76,3,Biz_IO8FMIQ,Services,5,<10000,2003
77,38,Biz_FZH5M26,Transport,13,50001-200000,1998
78,26,Biz_TXCGUI6,Manufacturing,8,<10000,1999
79,16,Biz_Q41M2G4,Retail,8,10000-50000,1982
80,44,Biz_HRBZEUB,Retail,12,<10000,2010
81,17,Biz_9P12PAW,Retail,4,10000-50000,1992
82,7,Biz_L4LMY4V,Services,13,<10000,1997
83,16,Biz_AH2W2DF,Retail,16,10000-50000,2013
84,23,Biz_8F4TUDZ,Services,12,<10000,1998
85,13,Biz_OR6WIWQ,Retail,3,50001-200000,2020
86,7,Biz_5Q94CLR,Services,7,10000-50000,1995
87,31,Biz_ALDVYLA,Hospitality,9,10000-50000,2003
88,14,Biz_95BE61X,Retail,11,10000-50000,1997
89,47,Biz_S3GOG0C,Transport,8,<10000,2006
90,22,Biz_7KG1DOS,Manufacturing,9,50001-200000,2007
91,24,Biz_RUKMPE9,Retail,10,10000-50000,1994
92,39,Biz_KSOYSIX,Transport,7,<10000,2000
93,1,Biz_QNCKJ0Y,Retail,7,10000-50000,2007
94,8,Biz_UKDL6ZJ,Hospitality,8,10000-50000,1999
95,40,Biz_U6P8IZ8,Retail,8,<10000,2007
96,23,Biz_INN9A28,Services,9,200001-1M,2016
97,11,Biz_QEHBXKS,Manufacturing,8,50001-200000,1982
98,3,Biz_DKUXDCW,Retail,5,10000-50000,2022
99,13,Biz_7SOD7CT,Other,5,<10000,1980
100,16,Biz_PQRQJGP,Retail,4,<10000,2010
101,33,Biz_4ZDNKPK,Agriculture,6,10000-50000,1994
102,18,Biz_4V2J32M,Agriculture,10,200001-1M,1994
103,33,Biz_2J5T7V8,Retail,8,<10000,1998
104,42,Biz_DM7SM1C,Services,8,10000-50000,2003
105,8,Biz_KUCLL42,Other,4,<10000,1988
106,31,Biz_735O34N,Manufacturing,10,200001-1M,1988
107,42,Biz_SD2IPJS,Retail,10,<10000,1988
108,11,Biz_I8PX88R,Agriculture,7,10000-50000,2008
109,15,Biz_2WDCQHV,Agriculture,9,10000-50000,2023
110,12,Biz_ADDMJXU,Agriculture,5,10000-50000,1984
111,17,Biz_ZN2WVZF,Other,7,10000-50000,1985
112,18,Biz_42XJAOV,Hospitality,12,10000-50000,1980
113,29,Biz_1WJ5148,Agriculture,12,10000-50000,1996
114,31,Biz_F26KS8V,Hospitality,6,<10000,2001
115,28,Biz_9RXGSM6,Retail,3,<10000,1997
116,10,Biz_TSSSB80,Agriculture,10,200001-1M,2011
117,46,Biz_0Z0ESIN,Hospitality,12,10000-50000,1987
118,40,Biz_2DFG3YZ,Other,7,10000-50000,1980
119,13,Biz_40E4I8X,Hospitality,5,<10000,2022
120,12,Biz_T7LA0PX,Services,7,<10000,2002
121,36,Biz_C7YEMKI,Retail,11,<10000,2016
122,5,Biz_UUY39C9,Manufacturing,3,200001-1M,2014
123,43,Biz_0X58GHX,Hospitality,5,<10000,1996
124,6,Biz_2GDN0VJ,Other,14,<10000,2014
125,26,Biz_NTUBEGB,Agriculture,7,10000-50000,2008
126,17,Biz_QF8LUP0,Agriculture,12,10000-50000,2008
127,38,Biz_NAR89AG,Manufacturing,12,10000-50000,1997
128,29,Biz_URAL8J0,Other,5,50001-200000,1997
129,24,Biz_HHCEYIP,Hospitality,6,<10000,2006
130,13,Biz_9PVICSS,Agriculture,6,<10000,1992
131,30,Biz_X5VHG5M,Agriculture,12,<10000,2019
132,47,Biz_7WFX591,Manufacturing,5,50001-200000,2006
133,44,Biz_TGJ2HZA,Manufacturing,8,50001-200000,1995
134,42,Biz_VM0E31U,Transport,9,50001-200000,1982
135,32,Biz_CZH3XTA,Services,8,10000-50000,2018
136,38,Biz_B3ULSK8,Manufacturing,5,10000-50000,2011
137,16,Biz_I61000P,Manufacturing,6,10000-50000,2023
138,11,Biz_L556RJB,Services,11,<10000,1994
139,38,Biz_MMLVEH5,Retail,7,200001-1M,1989
140,13,Biz_VNIUVEZ,Hospitality,6,10000-50000,1985
141,43,Biz_5O3Q4QF,Transport,4,<10000,1980
142,33,Biz_NEZW429,Manufacturing,13,<10000,2007
143,8,Biz_QQA38FX,Manufacturing,11,10000-50000,1992
144,47,Biz_B83EUJH,Retail,9,<10000,2020
145,35,Biz_YV5Z8BL,Transport,4,<10000,2019
146,9,Biz_6EKMTCI,Manufacturing,7,200001-1M,1984
147,5,Biz_TVIFXVN,Retail,10,50001-200000,2012
148,38,Biz_O343QN7,Other,10,<10000,2024
149,6,Biz_SHTP8CK,Agriculture,6,200001-1M,1994
150,30,Biz_WJYLC0Y,Hospitality,5,50001-200000,1981
151,28,Biz_HINKXAL,Services,6,10000-50000,2017
152,41,Biz_YHL3CEJ,Hospitality,12,10000-50000,1983
153,27,Biz_L3LZZJ1,Services,4,10000-50000,2018
154,12,Biz_RX8XUO0,Transport,8,<10000,2005
155,29,Biz_F8N9UC7,Other,12,50001-200000,1992
156,27,Biz_PJBV4HC,Other,7,<10000,1981
157,26,Biz_KAVBDV6,Retail,6,10000-50000,2006
158,18,Biz_CCZEOGL,Other,11,10000-50000,2014
159,37,Biz_F2QJWOM,Manufacturing,7,10000-50000,2014
160,1,Biz_8W5M5EY,Services,15,10000-50000,1986
161,18,Biz_ZSAGQZG,Other,7,<10000,2009
162,20,Biz_3QB9AJW,Other,11,50001-200000,1997
163,33,Biz_NHEJSZB,Manufacturing,6,10000-50000,2022
164,23,Biz_MNDJW8P,Hospitality,3,10000-50000,2013
165,19,Biz_G5D9HPI,Services,15,10000-50000,2012
166,14,Biz_THQHIOR,Hospitality,8,10000-50000,1985
167,30,Biz_D5JG63R,Services,7,200001-1M,2002
168,12,Biz_42FWTZ7,Transport,7,200001-1M,2018
169,32,Biz_8BJHFSY,Transport,9,10000-50000,1995
170,26,Biz_V1MMOFF,Other,10,50001-200000,2009
171,10,Biz_GA6B9XI,Hospitality,13,10000-50000,2006
172,15,Biz_3RHFZFM,Transport,5,10000-50000,2017
173,18,Biz_IC9KNNK,Agriculture,9,200001-1M,2013
174,23,Biz_B7R3XRR,Other,14,10000-50000,1999
175,26,Biz_RT5PC9A,Agriculture,7,10000-50000,2008
176,33,Biz_D5ZPRW5,Services,9,<10000,1983
177,27,Biz_TWPG6NG,Other,7,10000-50000,1980
178,11,Biz_V3Q5PUD,Agriculture,11,10000-50000,1996
179,13,Biz_QR1JLMO,Other,8,<10000,1994
180,7,Biz_QURM27U,Agriculture,3,<10000,1990
181,47,Biz_YLD97RJ,Other,7,200001-1M,2021
182,18,Biz_W060N88,Services,6,200001-1M,1980
183,27,Biz_8O1JYYW,Other,6,10000-50000,2023
184,46,Biz_M86YWDA,Retail,4,200001-1M,2003
185,42,Biz_IPC827F,Manufacturing,7,50001-200000,1996
186,17,Biz_IHF9QOH,Retail,5,<10000,2021
187,24,Biz_6MNDXCN,Hospitality,5,10000-50000,1981
188,14,Biz_QMKPBAG,Transport,8,10000-50000,2005
189,4,Biz_CHHQ1ZR,Manufacturing,5,<10000,1992
190,4,Biz_8FAXMXR,Manufacturing,16,>1M,1992
191,18,Biz_3BOYPKO,Retail,6,<10000,2007
192,29,Biz_E6VRZOP,Manufacturing,15,10000-50000,1983
193,33,Biz_SZS7IGJ,Hospitality,9,<10000,2007
194,41,Biz_SLEMPWL,Agriculture,5,<10000,2000
195,1,Biz_HLTD4FQ,Other,12,50001-200000,2007
196,5,Biz_ABBMDGF,Agriculture,5,50001-200000,2009
197,22,Biz_942DYYR,Hospitality,9,50001-200000,2006
198,13,Biz_VZOWVE4,Retail,17,10000-50000,1987
199,3,Biz_2LBQAKY,Services,4,<10000,1997
200,35,Biz_6UG3YO2,Manufacturing,8,10000-50000,2004
201,10,Biz_7WUB9MV,Manufacturing,9,10000-50000,2008
202,24,Biz_7DAV2OY,Hospitality,4,<10000,2017
203,40,Biz_EFP3R3O,Hospitality,8,10000-50000,2019
204,27,Biz_TY4890R,Agriculture,8,50001-200000,2022
205,33,Biz_59YG6UA,Services,4,10000-50000,2000
206,33,Biz_7CT4AW2,Agriculture,8,50001-200000,2003
207,8,Biz_C5LJKC4,Other,7,50001-200000,1999
208,30,Biz_9KIKOD3,Transport,12,50001-200000,2000
209,27,Biz_AL30KAN,Agriculture,8,50001-200000,2017
210,10,Biz_BKCIO3Z,Agriculture,6,10000-50000,2004
211,8,Biz_W6YGCGC,Other,7,10000-50000,1984
212,46,Biz_C6XN1A8,Agriculture,5,<10000,1993
213,4,Biz_39979E5,Retail,10,10000-50000,2003
214,8,Biz_L7WBV2G,Manufacturing,13,10000-50000,2007
215,36,Biz_Q9BGNVS,Services,12,50001-200000,1999
216,17,Biz_VWZNLZ1,Transport,10,200001-1M,1986
217,22,Biz_A4U1WLH,Agriculture,9,<10000,1999
218,8,Biz_L9X3KNC,Agriculture,10,<10000,2013
219,26,Biz_BUOQH11,Manufacturing,11,10000-50000,1988
220,11,Biz_BUNV93A,Retail,6,10000-50000,2021
221,35,Biz_CKHX4R2,Services,10,<10000,1980
222,22,Biz_7LFWJGI,Retail,4,10000-50000,2021
223,47,Biz_6PGBH1E,Agriculture,9,200001-1M,2013
224,17,Biz_S5W71KJ,Transport,7,<10000,2008
225,35,Biz_IMTT3A2,Agriculture,5,<10000,2002
226,16,Biz_PPVFWZS,Retail,6,<10000,1996
227,23,Biz_X3SCMU9,Services,12,10000-50000,2013
228,18,Biz_IWMD6PS,Manufacturing,11,<10000,2012
229,3,Biz_1M61H7N,Retail,8,<10000,2021
230,14,Biz_N9WLFCM,Services,7,10000-50000,1990
231,7,Biz_2JX5RPN,Transport,4,10000-50000,2000
232,3,Biz_UH9GDYO,Services,11,50001-200000,1997
233,33,Biz_K754FLK,Agriculture,7,<10000,2000
234,18,Biz_EJG00BY,Manufacturing,6,<10000,2002
235,4,Biz_TIYY6HR,Hospitality,9,50001-200000,1988
236,15,Biz_8TYW2PL,Retail,6,10000-50000,2021
237,18,Biz_I18HHUR,Other,18,50001-200000,2012
238,13,Biz_JYPSG2K,Services,13,<10000,1999
239,21,Biz_YUIUGTB,Transport,13,10000-50000,2011
240,46,Biz_LMCZASO,Manufacturing,8,10000-50000,2018
241,36,Biz_F47KTLN,Agriculture,4,<10000,2018
242,14,Biz_X7NI08S,Agriculture,6,200001-1M,2006
243,22,Biz_HIUDD8G,Hospitality,8,<10000,1994
244,7,Biz_WZR7JZ2,Retail,4,<10000,1988
245,16,Biz_RW0IN7C,Hospitality,3,10000-50000,2014
246,14,Biz_PW9OSQQ,Transport,7,50001-200000,2006
247,11,Biz_NQV6VX3,Hospitality,8,10000-50000,2013
248,16,Biz_E60817K,Transport,7,50001-200000,1986
249,11,Biz_VO7RGUZ,Manufacturing,11,<10000,2004
250,14,Biz_XJ7B2T3,Transport,9,10000-50000,2009
251,23,Biz_SAT4OYX,Manufacturing,7,200001-1M,1991
252,28,Biz_2EJIQOX,Other,9,<10000,2015
253,31,Biz_QQJDPXL,Other,6,10000-50000,1987
254,7,Biz_IN910PN,Other,7,10000-50000,2012
255,16,Biz_L8L0NCA,Services,9,10000-50000,2014
256,11,Biz_CG69T7E,Other,11,10000-50000,1982
257,14,Biz_AUUGA58,Manufacturing,13,10000-50000,2019
258,31,Biz_ZPANMH7,Services,3,50001-200000,1993
259,15,Biz_XMJF3P9,Transport,8,<10000,1999
260,22,Biz_CT4Q5TG,Other,10,<10000,1995
261,16,Biz_8FYW7FF,Retail,6,>1M,1997
262,3,Biz_DII2M4V,Retail,6,<10000,1994
263,22,Biz_DUE1249,Other,12,<10000,2024
264,13,Biz_R86WAND,Transport,9,10000-50000,1994
265,10,Biz_F93PMTS,Agriculture,8,10000-50000,1999
266,6,Biz_AG3OH46,Services,6,10000-50000,2021
267,20,Biz_JSZC1GV,Agriculture,8,50001-200000,1985
268,4,Biz_QT1VNWI,Retail,10,<10000,1990
269,3,Biz_IXZDQOD,Manufacturing,9,<10000,1985
270,4,Biz_DJAADMX,Agriculture,11,>1M,1985
271,36,Biz_D5MWJYP,Manufacturing,11,200001-1M,2017
272,10,Biz_PKCH492,Manufacturing,13,10000-50000,1992
273,45,Biz_QLNDOMI,Retail,9,<10000,2020
274,33,Biz_X0J7FGK,Agriculture,3,50001-200000,1983
275,19,Biz_WHSDSG8,Other,5,200001-1M,2019
276,24,Biz_0F4XA76,Transport,7,200001-1M,1992
277,30,Biz_SK9NOFD,Services,15,10000-50000,1991
278,40,Biz_457IC02,Manufacturing,6,10000-50000,1981
279,30,Biz_1UOUBFL,Transport,9,10000-50000,1989
280,5,Biz_NPGYW2E,Transport,10,<10000,2003
281,7,Biz_3N1WKS9,Services,10,50001-200000,2002
282,3,Biz_BNW0F2C,Services,7,<10000,1989
283,17,Biz_EBVZ8RA,Services,6,<10000,2018
284,37,Biz_I09KHNX,Services,6,<10000,2011
285,43,Biz_QII5VSO,Agriculture,7,10000-50000,1980
286,13,Biz_QG07GQN,Services,9,<10000,2014
287,24,Biz_XSNAVE0,Retail,11,<10000,2023
288,34,Biz_VWV7ZB0,Hospitality,10,<10000,1998
289,16,Biz_XBSP5GF,Transport,8,<10000,1993
290,18,Biz_VM412DW,Transport,10,50001-200000,2007
291,7,Biz_D412TQG,Agriculture,7,<10000,1990
292,17,Biz_LVE18F4,Agriculture,12,<10000,1996
293,18,Biz_78PTNRT,Other,10,10000-50000,1993
294,13,Biz_NZ5L50L,Transport,8,10000-50000,2000
295,34,Biz_BPRSBQ7,Hospitality,4,<10000,2010
296,26,Biz_W174I5G,Retail,2,<10000,1981
297,17,Biz_YP0QKUS,Hospitality,7,10000-50000,2018
298,47,Biz_6MUYHUI,Retail,12,10000-50000,2007
299,14,Biz_NEEC0ZV,Manufacturing,6,10000-50000,1980
300,46,Biz_GHC30EU,Agriculture,5,200001-1M,2004
301,30,Biz_UP24UN0,Hospitality,9,10000-50000,2008
302,36,Biz_BIV5LB9,Agriculture,9,10000-50000,1990
303,32,Biz_HDRBVES,Agriculture,4,10000-50000,1981
304,17,Biz_D2FDFAA,Other,11,200001-1M,1990
305,1,Biz_XBNNJQ0,Services,10,<10000,2014
306,1,Biz_FMCG11J,Retail,8,10000-50000,1982
307,39,Biz_08VRMFB,Other,4,<10000,2002
308,47,Biz_PCXNTLV,Hospitality,6,<10000,2012
309,27,Biz_RZ5ME21,Services,10,10000-50000,2005
310,43,Biz_YMN7D2X,Transport,11,10000-50000,1999
311,13,Biz_60LOO91,Services,12,10000-50000,2013
312,7,Biz_HIIMPOH,Services,10,10000-50000,2014
313,22,Biz_42GX6WH,Agriculture,12,<10000,2003
314,1,Biz_VASH9CN,Manufacturing,5,10000-50000,2023
315,31,Biz_NOMJJBJ,Retail,11,10000-50000,1983
316,15,Biz_KEZOHAQ,Services,5,200001-1M,2014
317,23,Biz_FCBZTF1,Manufacturing,4,10000-50000,2011
318,16,Biz_3IMJU70,Services,7,<10000,2022
319,35,Biz_TPDP53M,Services,7,50001-200000,2022
320,18,Biz_T8MID7R,Retail,5,<10000,2002
321,9,Biz_3WHH3PM,Retail,10,<10000,1995
322,46,Biz_RLWZ4YC,Other,4,10000-50000,1983
323,9,Biz_B6T8H2N,Agriculture,3,10000-50000,1996
324,47,Biz_8EYLW3X,Retail,11,10000-50000,1987
325,12,Biz_VNB6EXP,Transport,8,<10000,1996
326,11,Biz_NEQ30FY,Other,9,<10000,2023
327,43,Biz_R1YU4YK,Transport,7,200001-1M,2000
328,13,Biz_6KASW58,Other,11,<10000,1990
329,27,Biz_ZMMN22O,Services,11,<10000,2006
330,46,Biz_WUI5ECM,Agriculture,7,200001-1M,1982
331,7,Biz_ZXN9LKO,Other,4,10000-50000,2008
332,11,Biz_IYEKG6D,Other,8,<10000,1994
333,4,Biz_442SC6G,Retail,11,50001-200000,2003
334,43,Biz_LEY9N70,Services,6,<10000,2012
335,7,Biz_3JB8RXG,Other,6,50001-200000,2021
336,39,Biz_RQC8RRY,Transport,10,200001-1M,2015
337,26,Biz_FLR98RO,Transport,8,10000-50000,2013
338,23,Biz_OAVFTJP,Hospitality,3,10000-50000,1998
339,25,Biz_AAK4JTX,Retail,7,50001-200000,1999
340,31,Biz_6DNQ7PR,Manufacturing,6,10000-50000,2023
341,15,Biz_9XLVNMI,Manufacturing,7,50001-200000,2009
342,7,Biz_VLHE8SJ,Hospitality,9,<10000,2008
343,14,Biz_MYTMD99,Other,11,10000-50000,1994
344,47,Biz_Z52AD6W,Hospitality,7,<10000,1980
345,3,Biz_EU7ZIYJ,Services,7,10000-50000,2008
346,7,Biz_0ECUQ8B,Other,6,<10000,1980
347,22,Biz_ANJQO60,Services,7,10000-50000,1996
348,11,Biz_K0X4PNM,Services,4,<10000,2016
349,41,Biz_HHNSG44,Retail,7,200001-1M,2003
350,30,Biz_SSH14I7,Agriculture,12,<10000,1984
351,2,Biz_KX49S26,Other,7,10000-50000,2014
352,23,Biz_UCQHMTO,Services,15,10000-50000,2004
353,6,Biz_J5PIUD3,Services,9,<10000,2001
354,4,Biz_QLISV5B,Transport,8,10000-50000,1997
355,20,Biz_JY9H1U2,Transport,10,50001-200000,1989
356,9,Biz_UME0VVO,Transport,9,<10000,1988
357,16,Biz_3PJTZ69,Hospitality,10,50001-200000,1995
358,47,Biz_S6HKL4D,Services,8,10000-50000,1983
359,8,Biz_CRQ27N7,Agriculture,4,<10000,1989
360,18,Biz_IGLB3ZK,Retail,10,10000-50000,1981
361,7,Biz_DQ300MK,Retail,15,50001-200000,2013
362,28,Biz_E81B8UL,Services,9,200001-1M,2014
363,9,Biz_3W462S5,Services,6,<10000,1996
364,27,Biz_S4K9NEB,Other,8,<10000,1987
365,10,Biz_3Q79JUJ,Services,4,10000-50000,1980
366,26,Biz_17BPDIN,Hospitality,12,<10000,1991
367,7,Biz_WQCP7QL,Retail,13,50001-200000,2023
368,9,Biz_T1LQU73,Hospitality,7,10000-50000,1986
369,12,Biz_692C28W,Transport,5,50001-200000,1986
370,36,Biz_EXLO0UZ,Hospitality,9,10000-50000,2012
371,32,Biz_B3MS4TH,Retail,7,50001-200000,2012
372,4,Biz_EIKF92W,Hospitality,15,10000-50000,2000
373,4,Biz_MPSQ95H,Retail,6,10000-50000,2005
374,12,Biz_ZHBS0LT,Hospitality,8,10000-50000,1982
375,43,Biz_E9LY479,Manufacturing,9,10000-50000,2015
376,18,Biz_2E0YYOM,Hospitality,7,200001-1M,1985
377,47,Biz_62KLWQC,Services,5,10000-50000,1999
378,4,Biz_22YQE4A,Retail,13,10000-50000,2004
379,17,Biz_2RCG1W9,Manufacturing,8,50001-200000,2001
380,12,Biz_MGMMSOC,Agriculture,12,<10000,2024
381,11,Biz_BZPCW08,Agriculture,4,10000-50000,1983
382,10,Biz_XFFCP9W,Services,7,<10000,2008
383,42,Biz_S3SSWKK,Agriculture,10,10000-50000,1987
384,22,Biz_ZPCWX3K,Transport,13,50001-200000,1997
385,27,Biz_7CI8ZU6,Agriculture,14,50001-200000,2006
386,32,Biz_LNRUWJ3,Transport,6,<10000,1992
387,8,Biz_O2FZX8I,Other,9,50001-200000,2013
388,26,Biz_RBNCPAF,Services,4,<10000,2003
389,30,Biz_4CG0I6D,Services,9,10000-50000,1989
390,8,Biz_HOIPS93,Retail,5,<10000,1991
391,21,Biz_HA52OHN,Transport,6,50001-200000,2006
392,30,Biz_NLR6KGC,Agriculture,9,200001-1M,2002
393,18,Biz_1DTGQA6,Retail,13,>1M,2023
394,17,Biz_LMQUUOF,Manufacturing,9,10000-50000,1997
395,18,Biz_1PBN2TL,Manufacturing,11,<10000,1992
396,12,Biz_7ZSCT2S,Services,9,50001-200000,2011
397,40,Biz_VR9C15B,Retail,7,<10000,1981
398,31,Biz_MRNGRZ2,Hospitality,6,50001-200000,1984
399,17,Biz_E8NFHXW,Retail,6,10000-50000,2006
400,15,Biz_LNGVMV7,Other,8,200001-1M,2003
401,4,Biz_XYWJIVL,Manufacturing,8,<10000,2001
402,3,Biz_WXFSQ3C,Other,9,<10000,2002
403,26,Biz_HDESU1C,Services,6,10000-50000,1994
404,25,Biz_0XKVSEB,Other,10,50001-200000,2004
405,20,Biz_KS00YEY,Hospitality,11,10000-50000,2005
406,18,Biz_3T373TS,Transport,8,<10000,2005
407,31,Biz_BL4G0FY,Agriculture,5,50001-200000,2021
408,3,Biz_GTORPDL,Agriculture,7,<10000,2017
409,3,Biz_J4X1VNZ,Services,10,<10000,2011
410,16,Biz_KSRV9PF,Transport,14,<10000,2012
411,18,Biz_GTAQJNV,Other,6,10000-50000,1986
412,1,Biz_A7AR6H2,Other,7,<10000,2019
413,16,Biz_MSTXQNJ,Other,9,<10000,2011
414,39,Biz_CINPA41,Manufacturing,8,<10000,1998
415,14,Biz_AVCFZAS,Other,13,50001-200000,1982
416,4,Biz_JWYKONL,Agriculture,6,>1M,2021
417,23,Biz_MDSTK47,Retail,13,>1M,2005
418,13,Biz_FVMK8UV,Services,7,<10000,2012
419,12,Biz_L0DAAIF,Agriculture,11,10000-50000,1981
420,1,Biz_HXR3Z7Y,Hospitality,5,10000-50000,1994
421,23,Biz_PPYGHO1,Manufacturing,10,10000-50000,2000
422,31,Biz_XQDQ9S2,Hospitality,8,10000-50000,1984
423,22,Biz_MN7FCPR,Retail,12,<10000,1983
424,30,Biz_5OGYPBT,Retail,8,10000-50000,2018
425,29,Biz_EYC6FII,Manufacturing,8,50001-200000,1995
426,46,Biz_2R75Y44,Services,8,200001-1M,1980
427,26,Biz_JJKRMGJ,Agriculture,7,10000-50000,1991
428,4,Biz_2B8SDVF,Hospitality,8,10000-50000,1982
429,47,Biz_ZBLEK3C,Manufacturing,9,50001-200000,1997
430,22,Biz_2H2E2GN,Agriculture,10,10000-50000,1981
431,16,Biz_9RCAIAU,Manufacturing,3,10000-50000,1996
432,6,Biz_0F6NXKI,Other,7,200001-1M,1980
433,18,Biz_LN5RS8J,Retail,12,10000-50000,2009
434,2,Biz_8LFG6B2,Other,6,10000-50000,1984
435,22,Biz_UBWU7H1,Services,7,50001-200000,1989
436,23,Biz_1R6R2FZ,Manufacturing,5,<10000,2007
437,20,Biz_CNX4YOY,Retail,11,10000-50000,2023
438,20,Biz_JPTVDLS,Manufacturing,4,10000-50000,2000
439,34,Biz_FM00CQL,Retail,11,10000-50000,1996
440,45,Biz_UPQOGOO,Other,8,<10000,2018
441,15,Biz_LQZFAEU,Transport,10,<10000,1986
442,16,Biz_9H4W763,Other,9,<10000,1991
443,13,Biz_IXOXXEQ,Retail,5,50001-200000,2010
444,4,Biz_ZXHWUF7,Services,7,<10000,2012
445,23,Biz_2LJ3Q2V,Agriculture,13,50001-200000,1994
446,3,Biz_TK64H6A,Other,9,50001-200000,2005
447,7,Biz_7I4U4O6,Manufacturing,9,>1M,2009
448,29,Biz_TR2KZ2M,Other,6,10000-50000,1992
449,45,Biz_B5PYBCV,Services,6,10000-50000,2008
450,42,Biz_XDQIIYH,Hospitality,9,10000-50000,1994
451,18,Biz_CYIWMER,Services,5,<10000,2020
452,13,Biz_UY8JVN3,Transport,5,10000-50000,2016
453,5,Biz_SG6ZVWA,Agriculture,8,10000-50000,1981
454,33,Biz_YJXH4UZ,Hospitality,5,10000-50000,1996
