facility_id,subcounty_id,county_id,facility_name,facility_type,bed_capacity
163,96,15,Health_DNNUPE,Sub-county Hospital,7
164,90,14,Health_ISAARJ,Clinic,6
165,247,38,Health_ANWDOL,Clinic,10
166,280,45,Health_JCXNVN,Sub-county Hospital,10
167,34,6,Health_SQUACJ,Dispensary,12
168,43,8,Health_FFNVGY,Sub-county Hospital,10
169,124,18,Health_NAYWKD,Clinic,2
170,50,9,Health_QHUBIN,Health Centre,8
171,67,11,Health_TQYOEX,Dispensary,9
172,114,17,Health_YBUCJN,County Hospital,10
173,284,46,Health_RMYFUU,Clinic,10
174,251,38,Health_JPDUJI,County Hospital,8
175,243,37,Health_HKSMMA,Sub-county Hospital,10
176,104,16,Health_UOXPRI,Health Centre,9
177,288,47,Health_EGYEAK,Health Centre,14
178,188,29,Health_TQZJJR,Clinic,12
179,292,47,Health_XFAOWB,Clinic,11
180,39,7,Health_DFURMR,Sub-county Hospital,8
181,20,3,Health_PADJIU,Dispensary,15
182,150,23,Health_QOBJTV,Health Centre,7
183,23,4,Health_OUUPEV,Clinic,5
184,125,18,Health_QFIZJK,Clinic,10
185,103,16,Health_NOLOZO,County Hospital,12
186,92,14,Health_XXXRHY,Health Centre,8
187,57,11,Health_YTDEPZ,Health Centre,7
188,37,7,Health_JOHVSR,County Hospital,7
189,266,42,Health_QDNMCX,Dispensary,8
190,112,17,Health_HAODXL,County Hospital,10
191,17,3,Health_BOITUM,Sub-county Hospital,5
192,141,22,Health_CWXWJU,Health Centre,13
193,53,10,Health_NRQIUF,Clinic,16
194,50,9,Health_FSYCEV,Health Centre,6
195,279,45,Health_BQHLAW,County Hospital,9
196,112,17,Health_FLRSTF,County Hospital,6
197,138,20,Health_OCIPEH,Dispensary,7
198,110,17,Health_KCVTTG,Health Centre,15
199,203,30,Health_TYJHOL,Sub-county Hospital,8
200,78,13,Health_AKODGM,County Hospital,12
201,183,28,Health_YNWEIC,Dispensary,8
202,155,24,Health_YXUHHH,County Hospital,5
203,78,13,Health_HLFQBN,County Hospital,10
204,149,23,Health_AMMQQW,Clinic,14
205,280,45,Health_AMOFFI,County Hospital,5
206,219,32,Health_BVKGAS,Dispensary,20
207,202,30,Health_TMKOCJ,Health Centre,16
208,79,13,Health_ZARAKR,County Hospital,11
209,215,31,Health_FSLBIE,Dispensary,7
210,51,9,Health_ESIBJC,Sub-county Hospital,12
211,180,28,Health_HTCCRP,Dispensary,10
212,5,1,Health_QVVVAL,Sub-county Hospital,14
213,7,2,Health_CWYSQK,Sub-county Hospital,7
214,52,10,Health_VMAYJT,County Hospital,8
215,262,42,Health_PJJUNF,Clinic,9
216,138,20,Health_EIGCNS,Sub-county Hospital,8
217,13,3,Health_CTIIVB,County Hospital,8
218,156,24,Health_FXSSFE,Health Centre,8
219,274,44,Health_DAMBIO,Clinic,10
220,112,17,Health_KEIGUF,Dispensary,6
221,63,11,Health_MIKRXP,Clinic,9
222,184,28,Health_TYCAWH,Health Centre,15
223,10,2,Health_DUWDHA,Dispensary,17
224,262,42,Health_VELURB,Health Centre,14
225,286,46,Health_GMDLDN,Health Centre,12
226,285,46,Health_NHOOOT,Sub-county Hospital,11
227,11,2,Health_ICHHFQ,Dispensary,7
228,9,2,Health_NUNFPR,Dispensary,12
229,263,42,Health_KHDAUY,Dispensary,8
230,172,26,Health_XSMLOM,Dispensary,15
231,93,14,Health_KCYLBU,Sub-county Hospital,10
232,90,14,Health_XQTVFP,County Hospital,11
233,234,35,Health_GOBNBJ,County Hospital,14
234,25,4,Health_ETIUUN,Sub-county Hospital,6
235,255,40,Health_WCBJGU,Sub-county Hospital,13
236,235,35,Health_DHKKFV,Clinic,16
237,31,6,Health_JYPHVK,County Hospital,9
238,190,30,Health_DALEBX,County Hospital,4
239,138,20,Health_HMTGIN,Clinic,16
240,30,5,Health_WBLGZG,Health Centre,15
241,13,3,Health_ZHPMDP,County Hospital,8
242,87,13,Health_ZINOVS,Health Centre,13
243,51,9,Health_NANVTJ,Dispensary,11
244,257,40,Health_LHKYVG,Health Centre,17
245,253,39,Health_DIWVYR,Dispensary,7
246,145,22,Health_AUJFIZ,Health Centre,8
247,88,14,Health_KFLWJB,County Hospital,12
248,102,16,Health_ECBMWN,Sub-county Hospital,14
249,64,11,Health_HCBMQD,Dispensary,12
250,202,30,Health_WJDUEM,Sub-county Hospital,10
251,43,8,Health_CTHAOP,Clinic,11
252,137,20,Health_IAOGCP,Dispensary,8
253,127,18,Health_LNRLAU,County Hospital,9
254,141,22,Health_OMXVIY,Health Centre,16
255,89,14,Health_ULSGWG,County Hospital,11
256,134,20,Health_OVLZYR,Dispensary,9
257,195,30,Health_CWFHSR,Sub-county Hospital,10
258,103,16,Health_HLYSBS,Clinic,8
259,155,24,Health_DPKXNL,Dispensary,2
260,65,11,Health_LRKCCW,County Hospital,10
261,262,42,Health_FLJRTC,Clinic,3
262,102,16,Health_SSMQIQ,Sub-county Hospital,6
263,84,13,Health_WVNIHD,Dispensary,11
264,176,27,Health_YGXVPE,Health Centre,7
265,109,17,Health_JQQJGI,Dispensary,6
266,190,30,Health_TEJOXQ,Health Centre,14
267,103,16,Health_MAHTNI,Sub-county Hospital,4
268,266,42,Health_ATPGLI,County Hospital,13
269,91,14,Health_PRNIUB,Sub-county Hospital,7
270,118,18,Health_ULRZEG,Dispensary,6
271,158,24,Health_GVJQIV,County Hospital,8
272,52,10,Health_YWQVQE,Clinic,10
273,204,30,Health_YGDFJF,Sub-county Hospital,9
274,200,30,Health_FBZRFR,Health Centre,10
275,150,23,Health_ZYWPZV,Dispensary,10
276,168,26,Health_TZYBAE,Clinic,5
277,189,29,Health_QBCOQO,Clinic,13
278,222,32,Health_GVSKGR,County Hospital,12
279,60,11,Health_FHOCVH,County Hospital,10
280,234,35,Health_KXLDSU,Sub-county Hospital,6
281,201,30,Health_WATDKB,County Hospital,5
282,158,24,Health_VIMTQZ,Sub-county Hospital,15
283,221,32,Health_ORPAKS,Dispensary,13
284,198,30,Health_XILLCO,County Hospital,7
285,75,12,Health_NGTCWX,Sub-county Hospital,10
286,12,3,Health_HZYXXN,Sub-county Hospital,11
287,19,3,Health_IQDFUG,County Hospital,14
288,162,25,Health_WNSQQJ,Clinic,8
289,82,13,Health_SUFIHS,Health Centre,3
290,4,1,Health_XEUAAF,Sub-county Hospital,6
291,40,7,Health_JDPKTZ,County Hospital,14
292,278,45,Health_FGGZHP,Clinic,15
293,108,17,Health_ZFFFXE,County Hospital,7
294,277,45,Health_ZDHXQJ,Dispensary,11
295,72,12,Health_OSNMXX,Sub-county Hospital,10
296,229,34,Health_GOWUSK,Clinic,16
297,202,30,Health_JUHMDG,Health Centre,11
298,147,22,Health_MCVIIW,Clinic,6
299,292,47,Health_VMORNZ,Health Centre,8
300,112,17,Health_QQGRCQ,Sub-county Hospital,11
301,168,26,Health_VKMLXA,Clinic,12
302,248,38,Health_EWEKCR,Dispensary,7
303,56,10,Health_ESENZN,County Hospital,6
304,35,7,Health_WRYRDV,Dispensary,10
305,283,46,Health_CZWIEF,Dispensary,10
306,177,27,Health_UXERNU,County Hospital,16
307,162,25,Health_VYFLVC,County Hospital,8
308,152,23,Health_OXZVZG,County Hospital,13
309,87,13,Health_AQCWXQ,Dispensary,6
310,37,7,Health_GTSAMH,County Hospital,14
311,124,18,Health_WNZJEU,Dispensary,10
312,264,42,Health_IJXYXK,County Hospital,12
313,144,22,Health_SBIEAW,Health Centre,13
314,221,32,Health_EGUMBF,Sub-county Hospital,4
315,224,33,Health_VKJAFR,County Hospital,9
316,91,14,Health_WWXGDQ,Health Centre,9
317,24,4,Health_EJABVY,Clinic,7
318,137,20,Health_HETLSX,Dispensary,9
319,57,11,Health_TCXRGH,County Hospital,13
320,184,28,Health_KMUBLB,County Hospital,10
321,123,18,Health_VUKZFP,Dispensary,14
322,83,13,Health_UENVFA,Dispensary,6
323,228,33,Health_WQWOMA,Health Centre,15
324,156,24,Health_HLSTWJ,County Hospital,13
325,206,30,Health_NRKXEE,Dispensary,9
326,63,11,Health_RVDKXM,Clinic,9
327,8,2,Health_DGRPCZ,Clinic,11
328,78,13,Health_AVRZYZ,Health Centre,6
329,116,18,Health_TOHTQV,Sub-county Hospital,9
330,65,11,Health_BFEBXF,County Hospital,6
331,145,22,Health_KQVNLT,Dispensary,9
332,101,16,Health_BSWEPV,Clinic,10
333,266,42,Health_EGJBSU,Health Centre,4
334,292,47,Health_MHXIHH,Sub-county Hospital,13
335,96,15,Health_MKLEQJ,County Hospital,9
336,94,14,Health_BZSZDZ,Sub-county Hospital,8
337,145,22,Health_UMSVDZ,Dispensary,13
338,155,24,Health_EDSRUU,Clinic,11
339,8,2,Health_QMPKXE,Sub-county Hospital,8
340,260,41,Health_LXDFXG,Clinic,9
341,198,30,Health_YTRIHF,Dispensary,11
342,38,7,Health_BQOSVV,Dispensary,9
343,38,7,Health_LKRDGK,County Hospital,7
344,169,26,Health_WEWPZH,Sub-county Hospital,13
345,225,33,Health_JIUHUN,Health Centre,9
346,27,5,Health_MXFGHG,County Hospital,14
347,196,30,Health_FCKBED,County Hospital,12
348,63,11,Health_RKLBFC,Dispensary,6
349,104,16,Health_BDWFER,County Hospital,5
350,15,3,Health_SSETCZ,Clinic,15
351,192,30,Health_TGJOOS,Dispensary,10
352,219,32,Health_JCQLZY,Health Centre,9
353,274,44,Health_UVHEJO,Clinic,15
354,151,23,Health_YGUREU,Sub-county Hospital,12
355,22,4,Health_WLLIWL,Sub-county Hospital,7
356,99,15,Health_DLVYHU,County Hospital,9
357,71,12,Health_SKVFSG,Health Centre,17
358,201,30,Health_ZWHZQY,Sub-county Hospital,7
359,50,9,Health_JPJTZH,Health Centre,14
360,18,3,Health_TTEXYN,County Hospital,9
361,103,16,Health_TOEHYZ,County Hospital,12
362,93,14,Health_UODKTV,Health Centre,8
363,257,40,Health_QWTSCA,Sub-county Hospital,16
364,201,30,Health_WPNCLI,Health Centre,12
365,234,35,Health_TCWUSP,Dispensary,9
366,133,19,Health_TJNDUU,County Hospital,6
367,234,35,Health_OICVUA,Sub-county Hospital,14
368,202,30,Health_JHZDFS,Health Centre,11
369,255,40,Health_WCXGUJ,County Hospital,6
370,195,30,Health_RQSMAY,Clinic,9
371,235,35,Health_IEWFPQ,Sub-county Hospital,11
372,104,16,Health_OYUORO,Health Centre,10
373,256,40,Health_HSXSYM,Health Centre,7
374,248,38,Health_MPCZNK,Dispensary,10
375,40,7,Health_GNGGGC,Clinic,7
376,281,45,Health_GHPBYR,Dispensary,12
377,244,37,Health_TFVIQV,Dispensary,5
378,249,38,Health_APRICV,Dispensary,9
379,254,39,Health_OCNGZA,Sub-county Hospital,14
380,273,44,Health_HUNDBV,Sub-county Hospital,14
381,192,30,Health_YEXGPU,Sub-county Hospital,9
382,291,47,Health_GXMYXD,Health Centre,6
383,160,25,Health_GXEFOS,Sub-county Hospital,8
384,243,37,Health_GHLNDP,Sub-county Hospital,11
385,96,15,Health_KXDWZH,County Hospital,13
386,68,11,Health_VMPNYX,Clinic,14
387,5,1,Health_SLWCID,Sub-county Hospital,7
388,32,6,Health_WMUDNX,Sub-county Hospital,11
389,126,18,Health_JHNZWS,County Hospital,6
390,34,6,Health_TBZMJP,Clinic,14
391,34,6,Health_UVNHVC,Sub-county Hospital,17
392,271,43,Health_PEAWWA,Dispensary,12
393,99,15,Health_ARNUGP,Health Centre,9
394,233,35,Health_SXHEIF,Sub-county Hospital,7
395,262,42,Health_MYJWIV,County Hospital,5
396,149,23,Health_VNHGNH,Dispensary,11
397,122,18,Health_YUWSYZ,Sub-county Hospital,9
398,47,8,Health_OPHNNJ,Clinic,13
399,172,26,Health_FKJTJS,Dispensary,11
400,2,1,Health_MUUKYG,Sub-county Hospital,9
401,39,7,Health_XKQTJC,Dispensary,8
402,114,17,Health_FCLABK,Dispensary,10
403,248,38,Health_EMBDTM,Health Centre,9
404,93,14,Health_SDVTEM,Dispensary,9
405,90,14,Health_SOXMFU,Dispensary,13
406,116,18,Health_GCQVBO,Health Centre,12
407,257,40,Health_NAJGDE,Health Centre,8
408,186,29,Health_UMYMMG,County Hospital,13
409,100,16,Health_VGQQBY,Dispensary,10
410,38,7,Health_EVGFZC,Dispensary,10
411,57,11,Health_GGWBQE,Dispensary,9
412,45,8,Health_SAABOP,Dispensary,8
413,10,2,Health_XYIRDJ,Dispensary,11
414,177,27,Health_QLNTXP,Sub-county Hospital,8
415,258,40,Health_CHEVRK,County Hospital,6
416,90,14,Health_YQCXWN,Health Centre,9
417,271,43,Health_RMYTXT,County Hospital,11
418,210,31,Health_XVSFRG,Sub-county Hospital,13
419,79,13,Health_CQGABQ,Dispensary,8
420,216,31,Health_MJFPWK,Sub-county Hospital,10
421,231,34,Health_BQZYHT,Clinic,5
422,19,3,Health_WAJLAY,Sub-county Hospital,10
423,54,10,Health_YALDLX,Clinic,12
424,282,46,Health_TLODTH,Sub-county Hospital,9
425,227,33,Health_TWVLPE,Sub-county Hospital,2
426,138,20,Health_MMCYBL,Sub-county Hospital,10
427,221,32,Health_NNZLTO,Sub-county Hospital,7
428,129,18,Health_LODZJD,Dispensary,8
429,60,11,Health_EJGVSO,Health Centre,6
430,189,29,Health_IPEGMV,Health Centre,9
431,85,13,Health_LSXFNI,Clinic,8
432,13,3,Health_WGQDMA,Clinic,10
433,188,29,Health_UWSDZM,County Hospital,5
434,156,24,Health_MVDQLX,Health Centre,12
435,212,31,Health_PQNGYL,Clinic,13
436,154,24,Health_JTCAQB,Health Centre,17
437,214,31,Health_BPUCZU,Dispensary,8
438,249,38,Health_JNPSAJ,Dispensary,9
439,75,12,Health_ZQOVXQ,Health Centre,5
440,196,30,Health_QZOBNX,Sub-county Hospital,8
441,180,28,Health_JYIIHT,County Hospital,6
442,273,44,Health_VUJRGC,Health Centre,7
443,182,28,Health_WBLPVB,Health Centre,11
444,89,14,Health_GFJEJW,County Hospital,10
445,170,26,Health_MWDFLW,Dispensary,13
446,4,1,Health_JNJOQN,Sub-county Hospital,7
447,288,47,Health_LCGHLZ,County Hospital,6
448,14,3,Health_IMDEYO,Dispensary,16
449,8,2,Health_CMIIRF,Dispensary,11
450,275,44,Health_VPJGKL,Sub-county Hospital,10
451,211,31,Health_QPRSLG,Sub-county Hospital,8
452,123,18,Health_GVHLEV,Health Centre,8
453,235,35,Health_EAJHKN,Clinic,8
454,16,3,Health_OLKUZP,Health Centre,13
455,214,31,Health_OINZZU,Sub-county Hospital,10
456,95,15,Health_JSXUZZ,County Hospital,16
457,78,13,Health_XXXFCT,Sub-county Hospital,12
458,40,7,Health_VJVHPA,Sub-county Hospital,13
459,221,32,Health_KVGBGY,County Hospital,13
460,159,24,Health_HIWCWR,Clinic,15
461,23,4,Health_QTFUUK,Dispensary,10
462,43,8,Health_ESGBBA,Clinic,11
463,167,26,Health_TWXETL,Sub-county Hospital,8
464,240,36,Health_DXESVI,Health Centre,4
465,260,41,Health_DHGZMS,Clinic,9
466,138,20,Health_DZTRUL,Sub-county Hospital,10
467,216,31,Health_ZSSCQU,Sub-county Hospital,10
468,49,9,Health_GRWCZU,Clinic,4
469,48,8,Health_YVBPZS,Sub-county Hospital,13
470,51,9,Health_OLOSLO,Sub-county Hospital,10
471,83,13,Health_SAUOKM,County Hospital,12
472,257,40,Health_XQEMTU,County Hospital,11
473,261,41,Health_BFQYLH,Sub-county Hospital,12
474,12,3,Health_QSYEEF,County Hospital,13
475,277,45,Health_DYXMIJ,County Hospital,13
476,50,9,Health_NQOBZH,Clinic,20
477,133,19,Health_QIHJUY,Dispensary,12
478,33,6,Health_NHPBKD,Health Centre,3
479,89,14,Health_DHSTSB,Health Centre,13
480,31,6,Health_EFWTPF,Clinic,10
481,57,11,Health_FJWLEW,Dispensary,11
482,212,31,Health_YSUOTD,Sub-county Hospital,16
483,200,30,Health_IATCDN,County Hospital,10
484,79,13,Health_EFBFLP,Clinic,12
485,26,4,Health_OGBRXS,County Hospital,6
486,198,30,Health_YSQQXH,Health Centre,15
487,60,11,Health_NBBVHQ,Clinic,10
488,111,17,Health_NKOXAJ,Health Centre,5
489,132,19,Health_WOMJLV,County Hospital,13
490,68,11,Health_NKWPAJ,County Hospital,13
491,49,9,Health_PBMGSQ,Health Centre,7
492,248,38,Health_LDAIEC,Dispensary,7
493,203,30,Health_KEZIZB,Sub-county Hospital,8
494,274,44,Health_WGZZOW,Clinic,10
495,44,8,Health_JBYXPT,County Hospital,14
496,83,13,Health_APKJOK,Clinic,10
497,270,43,Health_SVJGGQ,Health Centre,13
498,239,36,Health_LJKYKU,County Hospital,9
499,158,24,Health_DAEFLH,Clinic,9
500,68,11,Health_PRPXHP,Health Centre,11
501,150,23,Health_ZSQPZJ,Sub-county Hospital,11
502,227,33,Health_AHQQGU,Dispensary,4
503,231,34,Health_FJKXUU,County Hospital,15
504,54,10,Health_XIDVDU,County Hospital,12
505,86,13,Health_VPQYSA,Clinic,9
506,24,4,Health_UGPVOZ,Clinic,14
507,7,2,Health_OIDUGE,County Hospital,5
508,69,11,Health_FZBKPE,County Hospital,13
509,151,23,Health_PVITNM,Sub-county Hospital,4
510,161,25,Health_PXLVMU,Sub-county Hospital,9
511,167,26,Health_KFQJJR,Clinic,16
512,119,18,Health_SZIFIS,Dispensary,11
513,286,46,Health_UJGNHV,Health Centre,12
514,268,43,Health_KOHVUU,Health Centre,9
515,140,21,Health_AFWUOL,Clinic,8
516,196,30,Health_PHVVDK,Dispensary,3
517,77,13,Health_QGFVHX,Dispensary,3
518,185,29,Health_XARKJQ,County Hospital,12
519,103,16,Health_GDVYVS,County Hospital,7
520,195,30,Health_RTOIYZ,Dispensary,6
521,281,45,Health_NPOMQL,County Hospital,10
522,154,24,Health_JLSGQO,Health Centre,13
523,86,13,Health_LVKWWO,Clinic,12
524,195,30,Health_MGTCWY,Health Centre,8
525,86,13,Health_YXSFSS,Clinic,6
526,32,6,Health_CTDIBW,Dispensary,14
527,136,20,Health_GXPXOF,Sub-county Hospital,11
528,180,28,Health_IIEPKK,Health Centre,9
529,173,27,Health_ZUNHLT,Clinic,7
530,190,30,Health_KLNWTM,Clinic,9
531,32,6,Health_RYRDIT,Sub-county Hospital,8
532,13,3,Health_BXNASV,Dispensary,11
533,291,47,Health_ZVHQWU,Dispensary,13
534,57,11,Health_YXTUPV,Sub-county Hospital,11
535,244,37,Health_OXOEBA,Health Centre,10
536,231,34,Health_AHJDZX,County Hospital,12
537,247,38,Health_VIWVYX,County Hospital,15
538,153,23,Health_NSMMUX,Health Centre,15
539,242,36,Health_ECXMEB,Dispensary,10
540,221,32,Health_MJSMLK,County Hospital,11
541,175,27,Health_ZCEODE,County Hospital,14
542,229,34,Health_GYHKUL,Dispensary,8
543,244,37,Health_FGPCUV,Clinic,7
544,182,28,Health_FACJAT,Clinic,12
545,177,27,Health_PBRIZV,County Hospital,13
546,33,6,Health_MAUYFR,County Hospital,12
547,99,15,Health_NSMLGK,Sub-county Hospital,9
548,201,30,Health_YTXBCY,Dispensary,8
549,270,43,Health_IBGZBA,County Hospital,10
550,241,36,Health_ODBEYE,Health Centre,10
551,290,47,Health_UPEQIZ,County Hospital,9
552,262,42,Health_EMYXLO,County Hospital,9
553,105,16,Health_EXDDRF,Sub-county Hospital,10
554,180,28,Health_TXSVDN,County Hospital,12
555,33,6,Health_DEUUWX,County Hospital,12
556,183,28,Health_HACBVG,Sub-county Hospital,9
557,91,14,Health_QHZEAR,Dispensary,6
558,206,30,Health_PWIASW,Health Centre,12
559,275,44,Health_NJAOJX,Dispensary,13
560,115,18,Health_DAAELT,Clinic,15
561,100,16,Health_MXRDBF,Dispensary,12
562,234,35,Health_OSLJCR,County Hospital,6
563,280,45,Health_GPYPWO,Dispensary,6
564,19,3,Health_BEETHB,County Hospital,11
