
agri_id,county_id,year,maize_output_tonnes,tea_output_tonnes,rainfall_mm
210,20,2014,61000,0,690
211,20,2015,63000,0,740
212,20,2016,58000,0,620
213,20,2017,65000,0,770
214,20,2018,62000,0,710
215,20,2019,67000,0,810
216,20,2020,56000,0,580
217,20,2021,64000,0,730
218,20,2022,68000,0,790
219,20,2023,66000,0,750
220,20,2024,70000,0,830
221,21,2014,83000,0,860
222,21,2015,86000,0,930
223,21,2016,80000,0,780
224,21,2017,89000,0,960
225,21,2018,85000,0,880
226,21,2019,92000,0,1010
227,21,2020,78000,0,730
228,21,2021,87000,0,900
229,21,2022,93000,0,980
230,21,2023,90000,0,940
231,21,2024,95000,0,1040
232,22,2014,35000,0,1120
233,22,2015,37000,0,1200
234,22,2016,33000,0,1000
235,22,2017,38000,0,1230
236,22,2018,36000,0,1140
237,22,2019,40000,0,1300
238,22,2020,32000,0,940
239,22,2021,37000,0,1170
240,22,2022,41000,0,1260
241,22,2023,39000,0,1210
242,22,2024,42000,0,1330
243,23,2014,79000,0,830
244,23,2015,82000,0,900
245,23,2016,76000,0,750
246,23,2017,85000,0,930
247,23,2018,81000,0,850
248,23,2019,88000,0,980
249,23,2020,74000,0,700
250,23,2021,83000,0,870
251,23,2022,89000,0,950
252,23,2023,86000,0,910
253,23,2024,91000,0,1010
254,24,2014,73000,0,810
255,24,2015,76000,0,870
256,24,2016,70000,0,730
257,24,2017,78000,0,900
258,24,2018,75000,0,830
259,24,2019,81000,0,950
260,24,2020,68000,0,680
261,24,2021,77000,0,850
262,24,2022,82000,0,920
263,24,2023,79000,0,880
264,24,2024,84000,0,970
265,25,2014,68000,0,770
266,25,2015,71000,0,830
267,25,2016,65000,0,690
268,25,2017,73000,0,860
269,25,2018,70000,0,790
270,25,2019,76000,0,910
271,25,2020,63000,0,640
272,25,2021,72000,0,810
273,25,2022,77000,0,880
274,25,2023,74000,0,840
275,25,2024,79000,0,930
276,26,2014,75000,0,820
277,26,2015,78000,0,890
278,26,2016,72000,0,740
279,26,2017,80000,0,920
280,26,2018,77000,0,840
281,26,2019,83000,0,970
282,26,2020,70000,0,690
283,26,2021,79000,0,860
284,26,2022,84000,0,940
285,26,2023,81000,0,900
286,26,2024,86000,0,990
287,27,2014,59000,0,660
288,27,2015,61000,0,710
289,27,2016,57000,0,590
290,27,2017,63000,0,740
291,27,2018,60000,0,680
292,27,2019,65000,0,780
293,27,2020,55000,0,550
294,27,2021,62000,0,700
295,27,2022,66000,0,760
296,27,2023,64000,0,720
297,27,2024,68000,0,800
298,28,2014,70000,0,790
299,28,2015,73000,0,850
300,28,2016,67000,0,710
301,28,2017,75000,0,880
302,28,2018,72000,0,810
303,28,2019,78000,0,930
304,28,2020,65000,0,660
305,28,2021,74000,0,830
306,28,2022,79000,0,900
307,28,2023,76000,0,860
308,28,2024,81000,0,950
309,29,2014,84000,0,870
310,29,2015,87000,0,940
311,29,2016,81000,0,790
312,29,2017,90000,0,970
313,29,2018,86000,0,890
314,29,2019,93000,0,1020
315,29,2020,79000,0,740
316,29,2021,88000,0,910
317,29,2022,94000,0,990
318,29,2023,91000,0,950
319,29,2024,96000,0,1050
320,30,2014,17000,105000,1690
321,30,2015,18000,109000,1760
322,30,2016,16000,101000,1560
323,30,2017,19000,112000,1820
324,30,2018,18000,107000,1710
325,30,2019,20000,115000,1890
326,30,2020,15000,98000,1500
327,30,2021,18000,110000,1740
328,30,2022,20000,116000,1850
329,30,2023,19000,113000,1790
330,30,2024,21000,119000,1930
331,31,2014,55000,0,640
332,31,2015,57000,0,690
333,31,2016,53000,0,570
334,31,2017,59000,0,720
335,31,2018,56000,0,660
336,31,2019,61000,0,760
337,31,2020,51000,0,530
338,31,2021,58000,0,680
339,31,2022,62000,0,740
340,31,2023,60000,0,700
341,31,2024,64000,0,780
342,32,2014,77000,0,840
343,32,2015,80000,0,910
344,32,2016,74000,0,760
345,32,2017,82000,0,940
346,32,2018,79000,0,860
347,32,2019,85000,0,990
348,32,2020,72000,0,710
349,32,2021,81000,0,880
350,32,2022,86000,0,960
351,32,2023,83000,0,920
352,32,2024,88000,0,1010
353,33,2014,65000,0,750
354,33,2015,68000,0,810
355,33,2016,62000,0,670
356,33,2017,70000,0,840
357,33,2018,67000,0,770
358,33,2019,73000,0,890
359,33,2020,60000,0,620
360,33,2021,69000,0,790
361,33,2022,74000,0,860
362,33,2023,71000,0,820
363,33,2024,76000,0,910
364,34,2014,16000,102000,1670
365,34,2015,17000,106000,1740
366,34,2016,15000,98000,1540
367,34,2017,18000,109000,1800
368,34,2018,17000,104000,1690
369,34,2019,19000,112000,1870
370,34,2020,14000,95000,1480
371,34,2021,17000,107000,1720
372,34,2022,19000,113000,1830
373,34,2023,18000,110000,1770
374,34,2024,20000,116000,1910
375,35,2014,71000,0,800
376,35,2015,74000,0,860
377,35,2016,68000,0,720
378,35,2017,76000,0,890
379,35,2018,73000,0,820
380,35,2019,79000,0,940
381,35,2020,66000,0,670
382,35,2021,75000,0,840
383,35,2022,80000,0,910
384,35,2023,77000,0,870
385,35,2024,82000,0,960
386,36,2014,13000,95000,1620
387,36,2015,14000,99000,1690
388,36,2016,12000,91000,1490
389,36,2017,15000,102000,1750
390,36,2018,14000,97000,1640
391,36,2019,16000,105000,1820
392,36,2020,11000,88000,1430
393,36,2021,14000,100000,1670
394,36,2022,16000,106000,1780
395,36,2023,15000,103000,1720
396,36,2024,17000,109000,1860
397,37,2014,69000,0,780
398,37,2015,72000,0,840
399,37,2016,66000,0,700
400,37,2017,74000,0,870
401,37,2018,71000,0,800
402,37,2019,77000,0,920
403,37,2020,64000,0,650
404,37,2021,73000,0,820
405,37,2022,78000,0,890
406,37,2023,75000,0,850
407,37,2024,80000,0,940
408,38,2014,50000,0,610
409,38,2015,52000,0,660
410,38,2016,48000,0,540
411,38,2017,54000,0,690
412,38,2018,51000,0,630
413,38,2019,55000,0,730
414,38,2020,47000,0,500
415,38,2021,53000,0,650
416,38,2022,56000,0,710
417,38,2023,54000,0,670
418,38,2024,58000,0,750
419,39,2014,46000,0,570
420,39,2015,48000,0,620
421,39,2016,44000,0,500
422,39,2017,50000,0,650
423,39,2018,47000,0,590
424,39,2019,51000,0,690
425,39,2020,43000,0,460
426,39,2021,49000,0,610
427,39,2022,52000,0,670
428,39,2023,50000,0,630
429,39,2024,54000,0,710
430,40,2014,62000,0,710
431,40,2015,64000,0,770
432,40,2016,59000,0,640
433,40,2017,66000,0,800
434,40,2018,63000,0,730
435,40,2019,68000,0,840
436,40,2020,57000,0,600
437,40,2021,65000,0,750
438,40,2022,69000,0,820
439,40,2023,67000,0,780
440,40,2024,71000,0,860
441,41,2014,57000,0,660
442,41,2015,59000,0,710
443,41,2016,55000,0,590
444,41,2017,61000,0,740
445,41,2018,58000,0,680
446,41,2019,63000,0,780
447,41,2020,53000,0,550
448,41,2021,60000,0,700
449,41,2022,64000,0,760
450,41,2023,62000,0,720
451,41,2024,66000,0,800
452,42,2014,85000,0,880
453,42,2015,88000,0,950
454,42,2016,82000,0,800
455,42,2017,91000,0,980
456,42,2018,87000,0,900
457,42,2019,94000,0,1030
458,42,2020,80000,0,750
459,42,2021,89000,0,920
460,42,2022,95000,0,1000
461,42,2023,92000,0,960
462,42,2024,97000,0,1060
463,43,2014,91000,0,910
464,43,2015,95000,0,980
465,43,2016,88000,0,830
466,43,2017,98000,0,1010
467,43,2018,93000,0,930
468,43,2019,100000,0,1070
469,43,2020,86000,0,780
470,43,2021,96000,0,950
471,43,2022,101000,0,1040
472,43,2023,98000,0,1000
473,43,2024,104000,0,1110
474,44,2014,19000,118000,1750
475,44,2015,20000,123000,1820
476,44,2016,18000,114000,1620
477,44,2017,21000,126000,1880
478,44,2018,20000,120000,1770
479,44,2019,22000,129000,1950
480,44,2020,17000,111000,1560
481,44,2021,20000,124000,1800
482,44,2022,22000,130000,1910
483,44,2023,21000,127000,1850
484,44,2024,23000,133000,1990
485,45,2014,87000,0,890
486,45,2015,90000,0,960
487,45,2016,84000,0,810
488,45,2017,93000,0,990
489,45,2018,89000,0,910
490,45,2019,96000,0,1040
491,45,2020,82000,0,760
492,45,2021,91000,0,930
493,45,2022,97000,0,1010
494,45,2023,94000,0,970
495,45,2024,99000,0,1070
496,46,2014,82000,0,850
497,46,2015,85000,0,920
498,46,2016,79000,0,770
499,46,2017,88000,0,950
500,46,2018,84000,0,870
501,46,2019,91000,0,1000
502,46,2020,77000,0,720
503,46,2021,86000,0,890
504,46,2022,92000,0,970
505,46,2023,89000,0,930
506,46,2024,94000,0,1030
507,47,2014,18000,111000,1710
508,47,2015,19000,115000,1780
509,47,2016,17000,107000,1580
510,47,2017,20000,118000,1840
511,47,2018,19000,113000,1730
512,47,2019,21000,121000,1910
513,47,2020,16000,104000,1520
514,47,2021,19000,116000,1760
515,47,2022,21000,122000,1870
516,47,2023,20000,119000,1810
517,47,2024,22000,125000,1950
