project_id,county_id,project_name,project_type,start_year,completion_status
387,36,Infra_NIUX4K,Water supply,2006,Planned
388,38,Infra_63AIIX,Bridge,2017,Planned
389,11,Infra_P0QN0M,Hospital upgrade,2021,Ongoing
390,31,Infra_Y6JH62,Hospital upgrade,2011,Ongoing
391,43,Infra_7Y2V35,Road,2006,Ongoing
392,15,Infra_0KAOGW,School construction,2020,Ongoing
393,46,Infra_WWRF4K,Hospital upgrade,2020,Ongoing
394,39,Infra_K5KVIR,Bridge,2007,Completed
395,9,Infra_00RRBT,Electricity,2011,Planned
396,34,Infra_ZJXQ8C,School construction,2006,Completed
397,15,Infra_N11GZQ,Road,2015,Planned
398,40,Infra_WNS7RB,Water supply,2015,Planned
399,19,Infra_OLGB8P,Hospital upgrade,2020,Planned
400,13,Infra_IPW11F,Road,2016,Planned
401,1,Infra_OPJESC,School construction,2005,Ongoing
402,11,Infra_4VY6BY,Electricity,2022,Planned
403,5,Infra_WLDSVU,Water supply,2005,Ongoing
404,32,Infra_D70F6B,Electricity,2005,Ongoing
405,27,Infra_OXML6O,Electricity,2009,Completed
406,4,Infra_QA12FB,School construction,2016,Planned
407,18,Infra_3VFEI2,Road,2016,Planned
408,10,Infra_CRBSH2,Road,2014,Planned
409,40,Infra_5LTAM8,Bridge,2016,Ongoing
410,18,Infra_GHEXI4,Water supply,2020,Planned
411,3,Infra_70UYZ6,Hospital upgrade,2008,Completed
412,10,Infra_ZMURJ3,Bridge,2007,Planned
413,6,Infra_N8ZW2K,Electricity,2021,Ongoing
414,25,Infra_RNEF05,Road,2016,Completed
415,34,Infra_JXHBSD,Water supply,2007,Planned
416,43,Infra_DFUSDO,Hospital upgrade,2022,Planned
417,21,Infra_6A64Z7,School construction,2010,Ongoing
418,26,Infra_97MH6Y,School construction,2016,Completed
419,8,Infra_90PWC4,Bridge,2016,Ongoing
420,36,Infra_N7AI8X,Hospital upgrade,2006,Ongoing
421,26,Infra_4AILXW,Bridge,2021,Planned
422,32,Infra_655I6X,Bridge,2022,Ongoing
423,17,Infra_M63X8O,Bridge,2010,Planned
424,18,Infra_5F9L6C,Electricity,2017,Planned
425,45,Infra_S0W8I3,Road,2012,Ongoing
426,12,Infra_1H61Z9,School construction,2015,Completed
427,10,Infra_2NDEYI,Hospital upgrade,2017,Completed
428,3,Infra_AQ2LCX,Road,2008,Ongoing
429,26,Infra_BIGEKU,Electricity,2006,Planned
430,11,Infra_A8488Y,Electricity,2019,Completed
431,17,Infra_JQ79I1,Hospital upgrade,2010,Planned
432,31,Infra_2I0GUO,Electricity,2011,Planned
433,31,Infra_FBHRG6,Electricity,2016,Ongoing
434,30,Infra_EZK7L3,Water supply,2023,Completed
435,30,Infra_VY9884,Hospital upgrade,2022,Ongoing
436,11,Infra_HIIHMN,Water supply,2005,Completed
437,45,Infra_5CMSD6,Hospital upgrade,2017,Planned
438,45,Infra_ALLB4V,Hospital upgrade,2010,Completed
439,18,Infra_AR4XG0,School construction,2016,Planned
440,13,Infra_AKJ1NS,School construction,2011,Ongoing
441,14,Infra_IW3WJQ,Road,2023,Planned
442,47,Infra_BD5L5U,Hospital upgrade,2023,Planned
443,31,Infra_AT669Y,Hospital upgrade,2015,Planned
444,8,Infra_B0D1B5,School construction,2016,Planned
445,8,Infra_NMXVKL,Hospital upgrade,2009,Ongoing
446,30,Infra_NFEXMY,School construction,2013,Completed
447,15,Infra_RPL8U7,Water supply,2023,Planned
448,26,Infra_QN27ZB,Hospital upgrade,2012,Planned
449,27,Infra_A4I7AJ,Water supply,2014,Ongoing
450,6,Infra_HSAMAH,Electricity,2022,Completed
451,18,Infra_PUZ3EJ,Bridge,2015,Planned
452,11,Infra_BRTEKC,Bridge,2015,Ongoing
453,26,Infra_078POZ,School construction,2014,Planned
454,41,Infra_AH11S8,Hospital upgrade,2023,Ongoing
455,32,Infra_ECS5YZ,School construction,2014,Planned
456,30,Infra_Y0JNLW,Road,2020,Completed
457,22,Infra_KBHRAW,School construction,2017,Planned
458,2,Infra_TMUYWE,Electricity,2015,Planned
459,8,Infra_Z7M6TB,Road,2011,Ongoing
460,47,Infra_GVLIED,Bridge,2006,Completed
461,47,Infra_JVOALG,Road,2013,Completed
462,31,Infra_TOOJJE,Bridge,2008,Ongoing
463,16,Infra_C5OY81,School construction,2021,Ongoing
464,22,Infra_J1Z9PA,Hospital upgrade,2016,Planned
465,32,Infra_KF7AKN,Bridge,2014,Completed
466,24,Infra_RL5MML,Water supply,2005,Planned
467,3,Infra_IMPO4L,Bridge,2022,Completed
468,6,Infra_I2T5PU,Road,2021,Planned
469,1,Infra_9RJVTB,Road,2021,Planned
470,28,Infra_ECVITZ,Electricity,2016,Planned
471,18,Infra_CMNMDS,Hospital upgrade,2024,Completed
472,31,Infra_S1UH7D,Road,2009,Ongoing
473,18,Infra_X26WBT,Road,2014,Ongoing
474,27,Infra_321U5Q,Bridge,2012,Planned
475,3,Infra_WYQ4VU,Bridge,2018,Completed
476,33,Infra_Z3TAUB,Road,2012,Completed
477,15,Infra_7C52OI,School construction,2009,Planned
478,8,Infra_TSLVEV,Hospital upgrade,2018,Completed
479,16,Infra_H4XSZC,Hospital upgrade,2011,Completed
480,32,Infra_9BSM2W,School construction,2021,Completed
481,29,Infra_OHARCN,Road,2022,Completed
482,31,Infra_5KSNFW,Road,2019,Completed
483,26,Infra_VV2625,Water supply,2015,Planned
484,11,Infra_JBB6E5,School construction,2016,Ongoing
485,34,Infra_5YSV5U,Bridge,2017,Completed
486,3,Infra_1WXLNJ,Electricity,2016,Completed
487,33,Infra_C3U2YH,Road,2006,Ongoing
488,13,Infra_05PR02,Road,2021,Planned
489,30,Infra_NFBT1N,Water supply,2005,Completed
490,3,Infra_5O4NCG,Hospital upgrade,2023,Planned
491,36,Infra_U2OTPR,Road,2015,Planned
492,18,Infra_7RRIFV,Electricity,2006,Ongoing
493,30,Infra_PZB85P,Water supply,2015,Completed
494,30,Infra_4F0UGP,Hospital upgrade,2013,Planned
495,1,Infra_VUV9FR,Hospital upgrade,2022,Ongoing
496,13,Infra_8NDOZD,Hospital upgrade,2005,Planned
497,30,Infra_3AJCQ3,School construction,2008,Completed
498,18,Infra_5KXQZQ,Hospital upgrade,2008,Ongoing
499,17,Infra_T4N7QG,Water supply,2007,Planned
500,25,Infra_204WSC,Hospital upgrade,2019,Completed
501,47,Infra_EIKPER,School construction,2013,Planned
